scenario_id,phase,arm,replicate,n_orders,hold_n,move_n,support_n,reasoning_len,order_set
s00,opening,control,0,2,1,1,0,1031,shangdang|hold|||;zheng|move|luoyang||
s00,opening,control,1,2,1,1,0,872,shangdang|hold|||;zheng|move|luoyang||
s00,opening,control,2,2,1,1,0,799,shangdang|hold|||;zheng|move|luoyang||
s00,opening,control,3,2,1,1,0,1016,shangdang|hold|||;zheng|move|luoyang||
s00,opening,control,4,2,1,1,0,743,shangdang|hold|||;zheng|move|luoyang||
s00,opening,control,5,2,1,1,0,977,shangdang|hold|||;zheng|move|luoyang||
s00,opening,control,6,2,1,1,0,1184,shangdang|hold|||;zheng|move|luoyang||
s00,opening,control,7,2,1,1,0,1245,shangdang|hold|||;zheng|move|luoyang||
s00,opening,tarot,0,2,1,1,0,1561,shangdang|hold|||;zheng|move|luoyang||
s00,opening,tarot,1,2,1,1,0,1423,shangdang|hold|||;zheng|move|luoyang||
s00,opening,tarot,2,2,1,1,0,1313,shangdang|hold|||;zheng|move|luoyang||
s00,opening,tarot,3,2,1,1,0,1080,shangdang|hold|||;zheng|move|luoyang||
s00,opening,tarot,4,2,1,1,0,1080,shangdang|hold|||;zheng|move|luoyang||
s00,opening,tarot,5,2,1,1,0,1153,shangdang|hold|||;zheng|move|luoyang||
s00,opening,tarot,6,2,1,1,0,1390,shangdang|hold|||;zheng|move|luoyang||
s00,opening,tarot,7,2,1,1,0,1205,shangdang|hold|||;zheng|move|luoyang||
s00,opening,yarrow,0,2,1,1,0,974,shangdang|hold|||;zheng|move|luoyang||
s00,opening,yarrow,1,2,1,1,0,1469,shangdang|hold|||;zheng|move|luoyang||
s00,opening,yarrow,2,2,2,0,0,1474,shangdang|hold|||;zheng|hold|||
s00,opening,yarrow,3,2,1,1,0,1323,shangdang|hold|||;zheng|move|luoyang||
s00,opening,yarrow,4,2,1,1,0,1138,shangdang|hold|||;zheng|move|luoyang||
s00,opening,yarrow,5,2,1,1,0,1269,shangdang|hold|||;zheng|move|luoyang||
s00,opening,yarrow,6,2,1,1,0,1333,shangdang|hold|||;zheng|move|luoyang||
s00,opening,yarrow,7,2,1,1,0,1642,shangdang|hold|||;zheng|move|luoyang||
s01,opening,control,0,2,1,0,1,977,luoyang|hold|||;shangdang|support|henei|wei|hold
s01,opening,control,1,2,1,0,1,1056,luoyang|hold|||;shangdang|support|henei|wei|hold
s01,opening,control,2,2,0,1,1,2039,luoyang|support|zheng|han|move;shangdang|move|zheng||
s01,opening,control,3,2,2,0,0,1151,luoyang|hold|||;shangdang|hold|||
s01,opening,control,4,2,0,1,1,1258,luoyang|support|zheng|han|move;shangdang|move|zheng||
s01,opening,control,5,2,2,0,0,876,luoyang|hold|||;shangdang|hold|||
s01,opening,control,6,2,0,1,1,1901,luoyang|move|zheng||;shangdang|support|zheng|han|move
s01,opening,control,7,2,2,0,0,814,luoyang|hold|||;shangdang|hold|||
s01,opening,tarot,0,2,0,1,1,1820,luoyang|move|zheng||;shangdang|support|zheng|han|move
s01,opening,tarot,1,2,0,1,1,1748,luoyang|support|zheng|han|move;shangdang|move|zheng||
s01,opening,tarot,2,2,2,0,0,1418,luoyang|hold|||;shangdang|hold|||
s01,opening,tarot,3,2,1,0,1,1146,luoyang|support|zheng|chu|hold;shangdang|hold|||
s01,opening,tarot,4,2,2,0,0,1725,luoyang|hold|||;shangdang|hold|||
s01,opening,tarot,5,2,0,1,1,1361,luoyang|support|zheng|han|move;shangdang|move|zheng||
s01,opening,tarot,6,2,1,0,1,1685,luoyang|hold|||;shangdang|support|henei|wei|hold
s01,opening,tarot,7,2,1,1,0,1677,luoyang|hold|||;shangdang|move|henei||
s01,opening,yarrow,0,2,1,0,1,1670,luoyang|hold|||;shangdang|support|henei|wei|hold
s01,opening,yarrow,1,2,1,0,1,1381,luoyang|hold|||;shangdang|support|henei|wei|hold
s01,opening,yarrow,2,2,1,0,1,2068,luoyang|hold|||;shangdang|support|henei|wei|hold
s01,opening,yarrow,3,2,1,0,1,1328,luoyang|hold|||;shangdang|support|henei|wei|hold
s01,opening,yarrow,4,2,2,0,0,1479,luoyang|hold|||;shangdang|hold|||
s01,opening,yarrow,5,2,1,0,1,1545,luoyang|hold|||;shangdang|support|henei|wei|hold
